Payment Date,Amount,Organisational Unit
2018-06-26,995.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care - Capital"
2018-06-21,5108.70,Economy and Environment (obsolete)-Planning & Building Control
2018-06-11,4815.58,Economy and Environment (obsolete)-Housing Services - Capital
2018-06-21,1890.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-26,3745.75,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,11830.12,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-27,750.00,Economy and Environment (obsolete)-Regeneration
2018-06-27,750.00,Economy and Environment (obsolete)-Regeneration
2018-06-05,2567.14,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-14,5184.00,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-14,299.30,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-19,7045.53,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-29,2264.20,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-29,587.12,Economy and Environment (obsolete)-Highways and Engineering Services
2018-06-27,1333.75,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-27,468.75,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-29,4950.00,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-06-29,4950.00,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-06-14,874.00,Chief Executive's Office (obsolete)-Public Health
2018-06-26,60406.80,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-01,16384.20,Children and Young People (obsolete)-Childrens Services Unit
2018-06-21,1500.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-26,70642.20,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,8107.86,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,25738.31,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,17167.78,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-12,15770.23,Communities & Service Support (obsolete)-Museums & Arts
2018-06-20,50773.00,Children and Young People (obsolete)-Education
2018-06-21,600.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-14,7200.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-14,7200.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-12,4000.00,Chief Executive's Office (obsolete)-Law & Administration Service
2018-06-19,518.18,Children and Young People (obsolete)-Childrens Care Services
2018-06-19,518.18,Children and Young People (obsolete)-Childrens Care Services
2018-06-26,2678.57,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,878.72,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,746.69,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,2016.84,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,600.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-21,600.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-21,600.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-21,600.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-21,600.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-21,600.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-26,1636.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,1743.76,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,25696.72,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,2407.48,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,12424.32,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,409.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,4268.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-08,5000.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-21,3790.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-26,1917.72,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-29,1630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-21,2980.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-29,1060.00,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-29,216.00,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-29,725.00,Communities & Service Support (obsolete)-Service Development - Client Services
2018-06-01,20.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-01,120.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
