Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code(T),Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,GIBSONS GARDEN MACHINERY LTD,3597427,211.97,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-23,GIBSONS GARDEN MACHINERY LTD,3597437,216.35,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-23,GIBSONS GARDEN MACHINERY LTD,3597890,420.78,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-11,JOHNSTON SWEEPERS LTD,3598054,806.28,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-11,NORTHERN COMMERCIALS (MIRFIELD) LTD,3598315,301.14,Claro Road goods
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-18,NORTHERN RADIATORS LTD,3598574,598.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,PROBRUSH,3598585,157.76,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,PROBRUSH,3598585,157.76,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,PROBRUSH,3598585,157.77,Claro Road goods
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-04,RIX PETROLEUM (HULL) LIMITED,3596372,9188.67,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-11,RIX PETROLEUM (HULL) LIMITED,3596786,10160.03,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-18,RIX PETROLEUM (HULL) LIMITED,3597227,1672.80,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-18,RIX PETROLEUM (HULL) LIMITED,3597449,12164.40,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-23,RIX PETROLEUM (HULL) LIMITED,3597896,12110.40,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-30,RIX PETROLEUM (HULL) LIMITED,3598242,12182.40,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-30,RIX PETROLEUM (HULL) LIMITED,3598243,1125.20,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-04,S & W SERVICES (YORKSHIRE) LTD,3596381,279.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-04,S & W SERVICES (YORKSHIRE) LTD,3596382,398.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-04,S & W SERVICES (YORKSHIRE) LTD,3596383,645.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-04,S & W SERVICES (YORKSHIRE) LTD,3596613,259.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-11,S & W SERVICES (YORKSHIRE) LTD,3596615,249.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-11,S & W SERVICES (YORKSHIRE) LTD,3597023,229.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-23,S & W SERVICES (YORKSHIRE) LTD,3598186,389.00,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,S & W SERVICES (YORKSHIRE) LTD,3598189,259.00,Claro Road goods
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-30,S & W SERVICES (YORKSHIRE) LTD,3598189,11.42,Claro Road goods
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2019-12-23,SAFETYKLEEN UK LTD,3599196,214.51,Service Charge all inclusive for 19112019 to 18122019
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-04,TERBERG MATEC UK,3597212,1010.32,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,TERBERG MATEC UK,3598582,3263.97,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,TERBERG MATEC UK,3598583,244.55,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-30,TERBERG MATEC UK,3599244,390.69,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,2019-12-02,CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,3595544,24.45,Redacted - Personal Data
Harrogate Borough Council,Premises,R,Community,Community Safety,Payments to Ext Contractors,2019-12-02,OFCOM,3597740,300.00,Customer Ret No 16L2246
Harrogate Borough Council,Employees,R,Community,Community Safety,Qualification Training,2019-12-23,THE CCTV TRAINING ACADEMY LTD,3598857,490.00,Qualification Training
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2019-12-30,VIZSEC (UK) LTD T/A VISUAL SECURITY SYSTEMS,3599723,1980.83,Maintenance of CCTV System
Harrogate Borough Council,Employees,R,Community,Enviromental Protection,Non Qualification Training,2019-12-11,ANTHONY DEAN,3597190,650.00,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2019-12-04,NORTH YORKSHIRE COUNTY COUNCIL,3597142,22772.80,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Payments to Ext Contractors,2019-12-04,NORTH YORKSHIRE COUNTY COUNCIL,3597143,15950.80,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Credit Card Services,2019-12-04,FLOWBIRD SMART CITY UK LIMITED,3596151,1014.00,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Credit Card Services,2019-12-04,FLOWBIRD SMART CITY UK LIMITED,3596630,1936.11,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Credit Card Services,2019-12-04,FLOWBIRD SMART CITY UK LIMITED,3596630,138.04,
Harrogate Borough Council,Premises,R,Community,Highways,Reactive Repairs & Maint - F&F,2019-12-30,FLOWBIRD SMART CITY UK LIMITED,3598236,181.00,REACTIVE REPAIRS MAINT F AND
Harrogate Borough Council,Premises,R,Community,Highways,Reactive Repairs & Maint - F&F,2019-12-30,FLOWBIRD SMART CITY UK LIMITED,3598236,560.00,REACTIVE REPAIRS MAINT F AND
Harrogate Borough Council,Premises,R,Community,Highways,Reactive Repairs & Maint - F&F,2019-12-30,FLOWBIRD SMART CITY UK LIMITED,3598236,15.50,REACTIVE REPAIRS MAINT F AND
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,45.52,
