Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name(T),Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,PROBRUSH,4655154,375,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,27/07/2016,RIX PETROLEUM (HULL) LIMITED,4656429,"9,643.03",
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,20/07/2016,RIX PETROLEUM (HULL) LIMITED,4655762,"9,661.30",
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,13/07/2016,RIX PETROLEUM (HULL) LIMITED,4655650,"9,721.80",
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,06/07/2016,RIX PETROLEUM (HULL) LIMITED,4655021,"10,554.00",
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,S & W SERVICES (YORKSHIRE) LTD,4656877,238,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,27/07/2016,S & W SERVICES (YORKSHIRE) LTD,4656880,238,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,27/07/2016,S & W SERVICES (YORKSHIRE) LTD,4656984,238,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,27/07/2016,S & W SERVICES (YORKSHIRE) LTD,4656985,245,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,S & W SERVICES (YORKSHIRE) LTD,4655516,259,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,S & W SERVICES (YORKSHIRE) LTD,4655947,259,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,S & W SERVICES (YORKSHIRE) LTD,4655035,270.5,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,S & W SERVICES (YORKSHIRE) LTD,4655513,398,
