Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Social Services,2010-08-02,Redacted Personal Data,4460914,Revenue,1425.00
Adult and Culture,Social Services,2010-08-25,SUE ROSS CONSULTING LTD,4788544,Revenue,750.00
Adult and Culture,Social Services,2010-08-04,SUPREME HEALTHCARE LTD,4765582,Revenue,2742.50
Adult and Culture,Social Services,2010-08-11,THE AVENUE NEWCASTLE LTD,4772259,Revenue,829.50
Adult and Culture,Social Services,2010-08-10,THE EDWARD LLOYD TRUST,4770902,Revenue,803.70
Adult and Culture,Social Services,2010-08-17,WAVERLEY EXCURSIONS LTD,4779912,Revenue,1355.40
Adult and Culture,Social Services - Social Care Payments,2010-08-12,A WILDERNESS WAY,4773763,Revenue,3500.00
Adult and Culture,Social Services - Social Care Payments,2010-08-12,A WILDERNESS WAY,4773764,Revenue,3500.00
Adult and Culture,Social Services - Social Care Payments,2010-08-12,A WILDERNESS WAY,4773765,Revenue,664.28
Adult and Culture,Social Services - Social Care Payments,2010-08-12,A WILDERNESS WAY,4773766,Revenue,1992.85
Adult and Culture,Social Services - Social Care Payments,2010-08-12,A WILDERNESS WAY,4773902,Revenue,3500.00
Adult and Culture,Social Services - Social Care Payments,2010-08-25,A WILDERNESS WAY,4788974,Revenue,3500.00
Adult and Culture,Social Services - Social Care Payments,2010-08-23,ACCEPT CARE,4785416,Revenue,6612.60
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778717,Revenue,1780.00
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778718,Revenue,1842.75
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778719,Revenue,1346.38
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778720,Revenue,1437.66
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778735,Revenue,1780.00
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778736,Revenue,1146.73
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778737,Revenue,502.04
Adult and Culture,Social Services - Social Care Payments,2010-08-17,AGE CONCERN NEWCASTLE,4778743,Revenue,6846.00
