Payment Date,Benificiary Name,Amount
2012-12-13,ASPIRATIONS CARE LTD,624.33
2012-12-13,ASPIRATIONS CARE LTD,624.33
2012-12-07,ASSET ADVANTAGE,59994.33
2012-12-11,AT COMPUTERS,400.00
2012-12-18,AT HOME IN THE COMMUNITY LTD,25000.00
2012-12-20,AT HOME IN THE COMMUNITY LTD,9648.00
2012-12-13,AT HOME IN THE COMMUNITY LTD,-570.69
2012-12-20,AT HOME IN THE COMMUNITY LTD,-570.69
2012-12-06,AT HOME IN THE COMMUNITY LTD,-570.69
2012-12-13,AT HOME IN THE COMMUNITY LTD,8631.03
2012-12-13,AT HOME IN THE COMMUNITY LTD,1400.81
2012-12-13,AT HOME IN THE COMMUNITY LTD,1108.28
2012-12-13,AT HOME IN THE COMMUNITY LTD,1514.24
2012-12-20,AT HOME IN THE COMMUNITY LTD,8576.39
2012-12-20,AT HOME IN THE COMMUNITY LTD,1448.57
2012-12-20,AT HOME IN THE COMMUNITY LTD,1021.72
2012-12-20,AT HOME IN THE COMMUNITY LTD,1514.24
2012-12-06,AT HOME IN THE COMMUNITY LTD,8631.03
2012-12-06,AT HOME IN THE COMMUNITY LTD,1466.48
2012-12-06,AT HOME IN THE COMMUNITY LTD,1108.28
2012-12-06,AT HOME IN THE COMMUNITY LTD,1514.24
2012-12-13,ATG ACCESS,394.52
2012-12-22,ATG ACCESS,140333.00
2012-12-07,ATKINS LTD,3210.00
2012-12-15,AUBREY CORNFOOT LTD,618.00
2012-12-26,AUBREY CORNFOOT LTD,328.33
2012-12-19,AURA (NEWCASTLE) PROJECT COMPANY LTD,656.00
2012-12-27,AURA (NEWCASTLE) PROJECT COMPANY LTD,51874.86
2012-12-27,AURA (NEWCASTLE) PROJECT COMPANY LTD,1019991.18
2012-12-22,AURA (NEWCASTLE) PROJECT COMPANY LTD,102559.20
2012-12-04,AURA (NEWCASTLE) PROJECT COMPANY PHASE 2,6081.40
2012-12-24,AURA (NEWCASTLE) PROJECT COMPANY PHASE 2,28163.54
2012-12-24,AURA (NEWCASTLE) PROJECT COMPANY PHASE 2,762680.13
2012-12-03,AURA COMMUNITY AND LEISURE,240.00
2012-12-12,AURA NEWCASTLE LTD,64400.00
2012-12-21,AURA NEWCASTLE LTD,10612.21
2012-12-22,AURA NEWCASTLE LTD,5204.70
2012-12-11,AUTISM INITIATIVES,-311.40
