Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment Date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Community Safety,072,Planned Maintenance,2022-06-06,227085,VIZSEC (UK) LTD T/A VISUAL SECURITY SYSTEMS,3649824,1980.83,Maintenance of CCTV System
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,291,Laboratory Services,2022-06-22,208465,NORTHUMBRIAN WATER LIMITED (NWL),3650808,7742.60,Labotatory Services
Harrogate Borough Council,Supplies and Services,R,Community,Highways,251,External Printing/Typesetting,2022-06-29,205946,BEMROSE BOOTH PARAGON LTD T/A PARAGON ID LTD,3649833,1611.00,
Harrogate Borough Council,Transport,R,Community,Highways,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3650158,129.31,
Harrogate Borough Council,Transport,R,Community,Highways,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3650158,129.31,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,300,Car Parking Adjudication Serv,2022-06-20,202734,PATROL,3649907,48.30,Car Parking Adjudication Serv
Harrogate Borough Council,Supplies and Services,R,Community,Highways,300,Car Parking Adjudication Serv,2022-06-20,202734,PATROL,3649907,57.77,Car Parking Adjudication Serv
Harrogate Borough Council,Supplies and Services,R,Community,Highways,300,Car Parking Adjudication Serv,2022-06-20,202734,PATROL,3649907,67.23,Car Parking Adjudication Serv
Harrogate Borough Council,Supplies and Services,R,Community,Highways,300,Car Parking Adjudication Serv,2022-06-20,202734,PATROL,3649907,78.25,Car Parking Adjudication Serv
Harrogate Borough Council,Supplies and Services,R,Community,Highways,300,Car Parking Adjudication Serv,2022-06-20,202734,PATROL,3649907,1338.49,Car Parking Adjudication Serv
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,393,Storage,2022-06-01,231052,A1 REMOVALS YORK,3649603,260.00,
