Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Community Safety,Payments to Ext Contractors,2015-07-20,RAPID COMPUTERS LIMITED,4633765,926.00,
Harrogate Borough Council,Transport,R,Community,Community Safety,Travel,2015-07-20,REDFERN TRAVEL LTD,4633696,119.71,REDACTED PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-01,SOLON SECURITY LTD,4632027,237.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,SOLON SECURITY LTD,4633007,237.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,SOLON SECURITY LTD,4632836,165.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,SOLON SECURITY LTD,4632836,450.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,SOLON SECURITY LTD,4632839,112.25,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,SOLON SECURITY LTD,4632839,449.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,SOLON SECURITY LTD,4632839,449.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,SOLON SECURITY LTD,4632839,112.25,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-15,ST MICHAEL?S HOSPICE,4632888,800.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-01,THE NIDDERDALE PLUS PARTNERSHIP,4633428,500.00,Safer Nidderdale Project Grant 201516
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Service Maintenance Contracts,2015-07-08,GEOTECHNICAL INSTRUMENTS (UK) LTD,4632260,330.00,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Other Services,2015-07-08,GEOTECHNICAL INSTRUMENTS (UK) LTD,4632260,25.00,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Equipment,2015-07-01,KEEP BRITAIN TIDY,4632870,850.00,
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Other Supplies & Services,2015-07-15,KIRKLEES METROPOLITAN COUNCIL,4632990,2654.40,
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2015-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,14.69,Jun Fuel
Harrogate Borough Council,Transport,R,Community,Highways,Fuel/Oil,2015-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,12.82,Jun Fuel
